year,concrete, brick,wood,steel, glass,plastics,aluminium ,copper
1834,932.54,268.75,9.9,10.52,3.0999999999999988,0.244,0.1,0.036
1835,932.54,268.75,9.9,13.149999999999999,3.1,0.305,0.125,0.045
1836,932.54,268.75,9.9,15.779999999999998,3.1,0.366,0.15,0.054
1837,932.54,268.75,9.9,18.409999999999997,3.1,0.427,0.175,0.063
1838,932.54,268.75,9.9,21.039999999999996,3.1,0.488,0.19999999999999998,0.072
1839,932.54,268.75,9.9,23.669999999999995,3.1,0.5489999999999999,0.22499999999999998,0.08099999999999999
1840,932.54,268.75,9.9,26.299999999999994,3.1,0.6099999999999999,0.24999999999999997,0.08999999999999998
1841,932.54,268.75,9.9,28.929999999999993,3.1,0.6709999999999998,0.27499999999999997,0.09899999999999998
1842,932.54,268.75,9.9,31.55999999999999,3.1,0.7319999999999998,0.3,0.10799999999999997
1843,932.54,268.75,9.9,34.18999999999999,3.1,0.7929999999999997,0.325,0.11699999999999997
1844,932.54,268.75,9.9,36.81999999999999,3.1,0.8539999999999996,0.35000000000000003,0.12599999999999997
1845,932.54,268.75,9.9,39.449999999999996,3.1,0.9149999999999996,0.37500000000000006,0.13499999999999998
1846,932.54,268.75,9.9,42.08,3.1,0.9759999999999995,0.4000000000000001,0.144
1847,932.54,268.75,9.9,44.71,3.1,1.0369999999999995,0.4250000000000001,0.153
1848,932.54,268.75,9.9,47.34,3.1,1.0979999999999994,0.4500000000000001,0.162
1849,932.54,268.75,9.9,49.970000000000006,3.1,1.1589999999999994,0.47500000000000014,0.171
1850,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1851,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1852,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1853,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1854,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1855,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1856,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1857,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1858,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1859,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1860,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1861,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1862,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1863,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1864,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1865,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1866,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1867,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1868,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1869,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1870,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1871,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1872,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1873,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1874,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1875,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1876,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1877,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1878,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1879,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1880,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1881,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1882,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1883,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1884,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1885,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1886,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1887,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1888,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1889,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1890,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1891,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
1892,932.54,268.75,9.9,52.6,3.1,1.22,0.5,0.18
